Estado,Ano,Faixa_Etaria,Nascimentos,Total_Ano,Percentual,IDHM,IDHM_Renda,IDHM_Educacao,IDHM_Longevidade
Amazonas,2021,40-44 anos,2074,78454,2.6435873250567212,0.727,0.657,0.748,0.783
Amazonas,2021,Idade ignorada,4,78454,0.005098529074362046,0.727,0.657,0.748,0.783
Amazonas,2021,Outras idades,153,78454,0.19501873709434828,0.727,0.657,0.748,0.783
Bahia,2000,10-14 anos,2500,239530,1.0437105999248528,0.512,0.594,0.332,0.68
Bahia,2000,15-19 anos,60639,239530,25.315826827537258,0.512,0.594,0.332,0.68
Bahia,2000,20-24 anos,76980,239530,32.137936792886066,0.512,0.594,0.332,0.68
Bahia,2000,25-29 anos,47847,239530,19.975368429841772,0.512,0.594,0.332,0.68
Bahia,2000,30-34 anos,27727,239530,11.575585521646557,0.512,0.594,0.332,0.68
Bahia,2000,35-39 anos,13672,239530,5.707844528869035,0.512,0.594,0.332,0.68
Bahia,2000,40-44 anos,4386,239530,1.831085876508162,0.512,0.594,0.332,0.68
Bahia,2000,Idade ignorada,5242,239530,2.188452385922431,0.512,0.594,0.332,0.68
Bahia,2000,Outras idades,537,239530,0.22418903686385838,0.512,0.594,0.332,0.68
Bahia,2010,10-14 anos,2486,212201,1.1715307656420093,0.66,0.663,0.555,0.783
Bahia,2010,15-19 anos,42862,212201,20.19877380408198,0.66,0.663,0.555,0.783
Bahia,2010,20-24 anos,59603,212201,28.087992045277826,0.66,0.663,0.555,0.783
Bahia,2010,25-29 anos,52781,212201,24.873115583809692,0.66,0.663,0.555,0.783
Bahia,2010,30-34 anos,34494,212201,16.255342811768088,0.66,0.663,0.555,0.783
Bahia,2010,35-39 anos,15387,212201,7.251143962563796,0.66,0.663,0.555,0.783
Bahia,2010,40-44 anos,4182,212201,1.9707729935297194,0.66,0.663,0.555,0.783
Bahia,2010,Idade ignorada,16,212201,0.007540021017808588,0.66,0.663,0.555,0.783
Bahia,2010,Outras idades,390,212201,0.18378801230908431,0.66,0.663,0.555,0.783
Bahia,2017,10-14 anos,2155,204096,1.0558756663530888,0.705,0.662,0.656,0.807
Bahia,2017,15-19 anos,36712,204096,17.98761367199749,0.705,0.662,0.656,0.807
Bahia,2017,20-24 anos,50682,204096,24.832431796801504,0.705,0.662,0.656,0.807
Bahia,2017,25-29 anos,46209,204096,22.640816086547506,0.705,0.662,0.656,0.807
Bahia,2017,30-34 anos,40320,204096,19.75540921919097,0.705,0.662,0.656,0.807
Bahia,2017,35-39 anos,22271,204096,10.912021793665726,0.705,0.662,0.656,0.807
Bahia,2017,40-44 anos,5363,204096,2.6276850109752274,0.705,0.662,0.656,0.807
Bahia,2017,Outras idades,384,204096,0.18814675446848542,0.705,0.662,0.656,0.807
Bahia,2018,10-14 anos,2014,205332,0.9808505250034091,0.71,0.675,0.655,0.811
Bahia,2018,15-19 anos,34723,205332,16.91066175754388,0.71,0.675,0.655,0.811
Bahia,2018,20-24 anos,49562,205332,24.13749439931428,0.71,0.675,0.655,0.811
Bahia,2018,25-29 anos,46328,205332,22.562484171975143,0.71,0.675,0.655,0.811
Bahia,2018,30-34 anos,41857,205332,20.38503496775953,0.71,0.675,0.655,0.811
Bahia,2018,35-39 anos,24339,205332,11.853486061597803,0.71,0.675,0.655,0.811
Bahia,2018,40-44 anos,6056,205332,2.9493698011026046,0.71,0.675,0.655,0.811
Bahia,2018,Idade ignorada,3,205332,0.0014610484483665478,0.71,0.675,0.655,0.811
Bahia,2018,Outras idades,450,205332,0.2191572672549822,0.71,0.675,0.655,0.811
Bahia,2019,10-14 anos,1808,197249,0.916607942245588,0.71,0.664,0.66,0.815
Bahia,2019,15-19 anos,31845,197249,16.144568540271433,0.71,0.664,0.66,0.815
Bahia,2019,20-24 anos,47267,197249,23.963112614005645,0.71,0.664,0.66,0.815
Bahia,2019,25-29 anos,44505,197249,22.562852029668086,0.71,0.664,0.66,0.815
Bahia,2019,30-34 anos,40286,197249,20.423931173288583,0.71,0.664,0.66,0.815
Bahia,2019,35-39 anos,24692,197249,12.518187671420389,0.71,0.664,0.66,0.815
Bahia,2019,40-44 anos,6406,197249,3.2476717245714806,0.71,0.664,0.66,0.815
Bahia,2019,Outras idades,440,197249,0.22306830452879356,0.71,0.664,0.66,0.815
Bahia,2020,10-14 anos,1568,188960,0.8298052497883149,0.718,0.673,0.672,0.818
Bahia,2020,15-19 anos,28777,188960,15.229149026248942,0.718,0.673,0.672,0.818
Bahia,2020,20-24 anos,45524,188960,24.091871295512277,0.718,0.673,0.672,0.818
Bahia,2020,25-29 anos,43707,188960,23.130292125317528,0.718,0.673,0.672,0.818
Bahia,2020,30-34 anos,37989,188960,20.10425486875529,0.718,0.673,0.672,0.818
Bahia,2020,35-39 anos,24210,188960,12.812235393734122,0.718,0.673,0.672,0.818
Bahia,2020,40-44 anos,6738,188960,3.565834038950042,0.718,0.673,0.672,0.818
Bahia,2020,Idade ignorada,1,188960,0.0005292125317527519,0.718,0.673,0.672,0.818
Bahia,2020,Outras idades,446,188960,0.23602878916172734,0.718,0.673,0.672,0.818
Bahia,2021,10-14 anos,1564,185459,0.8433130772839279,0.724,0.679,0.69,0.811
Bahia,2021,15-19 anos,27071,185459,14.596757234752694,0.724,0.679,0.69,0.811
