Estado,Ano,Faixa_Etaria,Nascimentos,Total_Ano
Ceará,2000,10-14 anos,1520,143393
Ceará,2000,15-19 anos,32285,143393
Ceará,2000,20-24 anos,43337,143393
Ceará,2000,25-29 anos,31088,143393
Ceará,2000,30-34 anos,19756,143393
Ceará,2000,35-39 anos,10992,143393
Ceará,2000,40-44 anos,3274,143393
Ceará,2000,Idade ignorada,814,143393
Ceará,2000,Outras idades,327,143393
Ceará,2010,10-14 anos,1510,128831
Ceará,2010,15-19 anos,24933,128831
Ceará,2010,20-24 anos,36892,128831
Ceará,2010,25-29 anos,30975,128831
Ceará,2010,30-34 anos,21277,128831
Ceará,2010,35-39 anos,10033,128831
Ceará,2010,40-44 anos,2953,128831
Ceará,2010,Idade ignorada,8,128831
Ceará,2010,Outras idades,250,128831
Ceará,2016,10-14 anos,1336,126246
Ceará,2016,15-19 anos,22698,126246
Ceará,2016,20-24 anos,33472,126246
Ceará,2016,25-29 anos,30183,126246
Ceará,2016,30-34 anos,23364,126246
Ceará,2016,35-39 anos,11979,126246
Ceará,2016,40-44 anos,3015,126246
Ceará,2016,Idade ignorada,2,126246
Ceará,2016,Menor de 10 anos,2,126246
Ceará,2016,Outras idades,195,126246
Ceará,2017,10-14 anos,1199,127797
Ceará,2017,15-19 anos,21535,127797
Ceará,2017,20-24 anos,33522,127797
Ceará,2017,25-29 anos,30500,127797
Ceará,2017,30-34 anos,24664,127797
Ceará,2017,35-39 anos,12963,127797
Ceará,2017,40-44 anos,3194,127797
Ceará,2017,Outras idades,220,127797
Ceará,2018,10-14 anos,1131,131491
Ceará,2018,15-19 anos,20485,131491
Ceará,2018,20-24 anos,33790,131491
Ceará,2018,25-29 anos,31484,131491
Ceará,2018,30-34 anos,26480,131491
Ceará,2018,35-39 anos,14350,131491
Ceará,2018,40-44 anos,3565,131491
Ceará,2018,Outras idades,206,131491
Ceará,2019,10-14 anos,1012,129185
Ceará,2019,15-19 anos,18731,129185
Ceará,2019,20-24 anos,32472,129185
Ceará,2019,25-29 anos,30812,129185
Ceará,2019,30-34 anos,27188,129185
Ceará,2019,35-39 anos,14909,129185
Ceará,2019,40-44 anos,3839,129185
Ceará,2019,Outras idades,222,129185
Ceará,2020,10-14 anos,979,121904
Ceará,2020,15-19 anos,16546,121904
Ceará,2020,20-24 anos,30413,121904
